time,temp_nocalibrated_depth_9.75m,temp_nocalibrated_depth_8.25m,temp_nocalibrated_depth_6.75m,temp_nocalibrated_depth_5.25m,temp_nocalibrated_depth_4.25m,temp_nocalibrated_depth_3.25m,temp_nocalibrated_depth_2.25m,temp_nocalibrated_depth_1.25m,temp_nocalibrated_depth_0.75m,temp_nocalibrated_depth_0.25m
2024-09-18 12:30:45,5.3125,5.3125,5.25,5.3125,5.375,5.3125,5.5625,5.5,5.4375,5.3125
2024-09-18 13:01:22,5.375,5.3125,5.3125,5.3125,5.4375,5.4375,5.5625,5.5,5.5,5.375
2024-09-18 13:30:54,5.375,5.3125,5.3125,5.375,5.5,5.4375,5.5625,5.5,5.5,5.375
2024-09-18 14:00:55,5.25,5.25,5.3125,5.3125,5.4375,5.4375,5.5625,5.5,5.5,5.375
2024-09-18 14:30:44,5.25,5.1875,5.3125,5.3125,5.5,5.4375,5.5625,5.5,5.5,5.375
2024-09-18 15:00:56,5.25,5.1875,5.3125,5.3125,5.4375,5.4375,5.5625,5.5,5.5,5.375
2024-09-18 15:30:59,5.3125,5.4375,5.375,5.4375,5.5,5.375,5.5,5.5,5.5,5.375
2024-09-18 16:01:26,5.5,5.4375,5.3125,5.375,5.4375,5.375,5.5,5.5,5.4375,5.375
2024-09-18 16:30:44,5.5,5.375,5.375,5.375,5.4375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-18 17:00:56,5.5625,5.4375,5.3125,5.3125,5.4375,5.375,5.4375,5.4375,5.4375,5.25
2024-09-18 17:30:57,5.5,5.375,5.375,5.3125,5.4375,5.4375,5.5,5.375,5.375,5.25
2024-09-18 18:00:56,5.5625,5.4375,5.375,5.4375,5.5,5.5,5.5625,5.5,5.4375,5.25
2024-09-18 18:30:45,5.5,5.5,5.5,5.4375,5.5,5.5,5.5625,5.375,5.375,5.25
2024-09-18 19:01:28,5.5625,5.5,5.5,5.5,5.5625,5.5,5.5625,5.4375,5.4375,5.25
2024-09-18 19:30:54,5.5,5.5625,5.5,5.5,5.5,5.4375,5.5625,5.375,5.375,5.25
2024-09-18 20:00:56,5.6875,5.5,5.4375,5.4375,5.4375,5.375,5.4375,5.375,5.375,5.25
2024-09-18 20:30:46,5.4375,5.3125,5.3125,5.3125,5.375,5.3125,5.4375,5.3125,5.3125,5.1875
2024-09-18 21:00:58,5.5625,5.3125,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-18 21:30:56,5.5,5.3125,5.25,5.3125,5.375,5.3125,5.375,5.3125,5.3125,5.1875
2024-09-18 22:01:17,5.4375,5.3125,5.25,5.25,5.375,5.25,5.375,5.3125,5.3125,5.1875
2024-09-18 22:30:48,5.4375,5.3125,5.25,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-18 23:00:57,5.4375,5.3125,5.3125,5.25,5.3125,5.25,5.375,5.3125,5.3125,5.1875
2024-09-18 23:30:56,5.5625,5.4375,5.3125,5.3125,5.375,5.25,5.375,5.3125,5.3125,5.1875
2024-09-19 00:00:56,5.4375,5.3125,5.3125,5.25,5.3125,5.25,5.375,5.375,5.375,5.25
2024-09-19 00:30:45,5.5,5.375,5.3125,5.25,5.375,5.3125,5.4375,5.375,5.375,5.3125
